Datetime,开盘价,最高价,最低价,收盘价,成交量,Dividends,Stock Splits,5个5分钟均线,10个5分钟均线,20个5分钟均线,50个5分钟均线,RSI指标,MACD,MACD信号线,MACD柱状图,布林带上轨,布林带中轨,布林带下轨,成交量10个5分钟均线,成交量20个5分钟均线,随机指标K,随机指标D,平均真实波幅
2025-09-22 13:10:00-04:00,254.05499267578125,254.24000549316406,253.94000244140625,254.00990295410156,549555,0.0,0.0,253.94858093261718,253.83512115478516,254.52181549072264,254.64662346473108,37.95623143109508,-0.05223311858637203,0.06594114779406854,-0.11817426638044057,256.22724654652876,254.52181549072264,252.81638443491656,777168.2,1074298.2,35.56064891368886,25.579807573226343,0.618804931640625
2025-09-22 13:15:00-04:00,254.00999450683594,254.37989807128906,253.99000549316406,254.33999633789062,564180,0.0,0.0,254.0435791015625,253.8971206665039,254.47881546020508,254.64335397573618,43.66437166361035,-0.027022782573396853,0.047347713833961226,-0.07437049640735807,256.1553720642716,254.47881546020508,252.80225885613856,730693.3,1018956.55,49.37209109307864,37.78171489990064,0.6041543143136161
2025-09-22 13:20:00-04:00,254.33999633789062,254.42999267578125,254.24000549316406,254.28759765625,450914,0.0,0.0,254.05909729003906,253.9438903808594,254.43969497680663,254.62980006291315,37.25260855487051,-0.011046720215404093,0.03566850145516394,-0.04671522167056803,256.09454099639385,254.43969497680663,252.78484895721942,659175.5,979284.6,47.982910089670085,44.30521669881253,0.5605817522321429
2025-09-22 13:25:00-04:00,254.3000030517578,254.72999572753906,253.9340057373047,254.5928955078125,696145,0.0,0.0,254.2570770263672,254.0331802368164,254.39433975219725,254.62021519587591,52.001018429659815,0.0253843981752766,0.033611634929530176,-0.008227236754253575,255.97488127419376,254.39433975219725,252.81379823020075,636555.1,965820.6,91.26745779514243,62.87415299263039,0.5345960344587054
2025-09-22 13:30:00-04:00,254.5800018310547,254.75,254.47000122070312,254.5449981689453,463805,0.0,0.0,254.355078125,254.10283966064452,254.3120895385742,254.5850612933819,57.93663262634198,0.04988726983651759,0.03686681998536967,0.01302044985114792,255.65208334456034,254.3120895385742,252.9720957325881,600677.5,926283.05,87.10677338246866,75.45238042242705,0.5090822492327008
2025-09-22 13:35:00-04:00,254.5500030517578,254.77999877929688,254.24000549316406,254.7200927734375,531455,0.0,0.0,254.4971160888672,254.22284851074218,254.2454391479492,254.5439189030574,64.70078952090435,0.08219943343254954,0.045933472078388445,0.036265961354161096,255.3288570176263,254.2454391479492,253.16202127827214,587245.9,866700.2,96.30208725793082,91.5587728118473,0.5140816824776786
2025-09-22 13:40:00-04:00,254.72000122070312,254.94000244140625,254.4250030517578,254.5800018310547,552549,0.0,0.0,254.5451171875,254.29434814453126,254.21443939208984,254.51930354191705,61.04258847105349,0.09559745291565491,0.05586638165962,0.039731071256034915,255.2151817196336,254.21443939208984,253.2136970645461,583969.9,818894.85,79.77523273955458,87.72803112665135,0.5158669607979911
2025-09-22 13:45:00-04:00,254.5800018310547,254.6199951171875,254.02000427246094,254.10000610351562,528012,0.0,0.0,254.50759887695312,254.2833480834961,254.17043991088866,254.4769962017353,55.26082367059598,0.06735851090022038,0.05816482850263898,0.0091936823975814,255.10462732779135,254.17043991088866,253.23625249398597,569194.5,786870.6,45.09823476613145,73.72518492120562,0.5037242344447544
2025-09-22 13:50:00-04:00,254.10000610351562,254.25880432128906,253.89999389648438,254.2324981689453,338083,0.0,0.0,254.43551940917968,254.34629821777344,254.10881500244142,254.44478431114783,55.07274998992383,0.05487301370521891,0.057506460732127083,-0.002633447026908174,254.81924503009333,254.10881500244142,253.3983849747895,533272.3,724406.8,53.75785379475416,59.54377376681341,0.494354248046875
2025-09-22 13:55:00-04:00,254.2100067138672,254.22999572753906,253.97999572753906,254.10670471191406,280502,0.0,0.0,254.34786071777344,254.35146942138672,254.09230041503906,254.39119603083685,58.18670368603939,0.03457754804824731,0.05292065138667967,-0.018343103338432358,254.78576208509506,254.09230041503906,253.39883874498307,495520.0,677011.35,45.04774650580102,47.96794502222888,0.47953360421316965
